review_tombstone_id,label
/reviews/albums/2641-wind-up-canary/-0,Hush
/reviews/albums/17756-fol-chen-the-false-alarms/-0,Asthmatic Kitty
/reviews/albums/13643-unexpected-guests/-0,Gold Dust Media
/reviews/albums/1156-brazilian-girls/-0,Verve
/reviews/albums/21591-epic-jammers-and-fortunate-little-ditties/-0,Drag City
/reviews/albums/12258-prehistoricisms/-0,Century Media
/reviews/albums/9250-surrounded/-0,Rhino
/reviews/albums/14977-by-the-hedge/-0,Captured Tracks
/reviews/albums/17172-cokefloat/-0,Fat Cat
/reviews/albums/12693-u/-0,Room40
/reviews/albums/maximum-joy-i-cant-stand-it-here-on-quiet-nights-singles-1981-82/-0,Silent Street
/reviews/albums/15349-swanlights-ep/-0,Secretly Canadian
/reviews/albums/3203-in-the-wire-ep/-0,Grey Flat
/reviews/albums/various-artists-rocketman-music-from-the-motion-picture/-0,Interscope
/reviews/albums/horse-jumper-of-love-so-divine/-0,Run for Cover
/reviews/albums/17512-oak-island/-0,Secretly Canadian
/reviews/albums/6449-one-word-extinguisher/-0,Warp
/reviews/albums/tom-misch-yussef-dayes-what-kinda-music/-0,Blue Note
/reviews/albums/12053-daniel-variations/-0,Nonesuch
/reviews/albums/11341-vainajan-muotokuva/-0,Fonal
/reviews/albums/django-django-glowing-in-the-dark/-0,Because
/reviews/albums/1520-come-here-when-you-sleepwalk/-0,Mush
/reviews/albums/1713-39-minutes-of-bliss-in-an-otherwise-meaningless-world/-0,Astralwerks
/reviews/albums/16956-melodica/-0,Black Mines
/reviews/albums/14730-holkham-drones/-0,Border Community
/reviews/albums/9905-dressed-up-for-the-letdown/-0,Secretly Canadian
/reviews/albums/8236-too-crazy-cowboys/-0,Factory
/reviews/albums/12842-the-hazards-of-love/-0,Capitol
/reviews/albums/beach-house-b-sides-and-rarities/-0,Sub Pop
/reviews/albums/19206-sage-the-gemini-remember-me/-0,Republic
/reviews/albums/14400-bonjour/-0,Knitting Factory
/reviews/albums/13450-eskimo-snow/-0,Anticon
/reviews/albums/21381-the-sound-of-durban-vol-1/-0,Gqom Oh!
/reviews/albums/2003-the-third-unheard-connecticut-hip-hop-1979-1983/-0,Stones Throw
/reviews/albums/15000-the-king-is-dead/-0,Rough Trade
/reviews/albums/15000-the-king-is-dead/-0,Capitol
/reviews/albums/3909-quit-or-fight/-0,Sub Pop
/reviews/albums/gucci-mane-so-icy-summer/-0,The New 1017
/reviews/albums/gucci-mane-so-icy-summer/-0,Atlantic
/reviews/albums/20794-white-reaper-does-it-again/-0,Polyvinyl
